neighborhood,address,units,confirmed_apartment,company,naics,company_buildings_in_target
Cole Valley,170 Parnassus Ave,,,Kingsley Sanford,531110,3
Cole Valley,85 Carl St,13,yes,Scher Daniel,531110,3
Cole Valley,642 Ashbury St,3,yes,Smithton Robert L,531110,3
Cole Valley,816 Ashbury St,9,yes,Steve & Irma Asti It LLC,531110,3
Cole Valley,825 Ashbury St,6,yes,Steve & Irma Asti It LLC,531110,3
Cole Valley,175 Clifford Ter,,,Baumann John & Baumann Bruce,531110,2
Cole Valley,240 Upper Ter,,,Baumann John & Baumann Bruce,531110,2
Cole Valley,820 Stanyan St,6,yes,Chan Bob & Leslie Y,531110,2
Cole Valley,112 Parnassus Ave,,,"Cibas Properties, LLC",531110,2
Cole Valley,1168 Stanyan St,,,Cohen Charles S Etal,531110,2
Cole Valley,925 Cole St,,,Cohen Charles S Etal,531110,2
Cole Valley,1445 Waller St,6,yes,Conway Joe & Abbott Thomas,53,2
Cole Valley,701 Shrader St #705,6,yes,Dangtran Family Trust,531110,2
Cole Valley,1709 Waller St,,,Dangtran Family Trust,531110,2
Cole Valley,1040 Cole St,6,yes,Grimes John & Linda,531110,2
Cole Valley,358 Frederick St,,,Gutfreund Family Trust & Et Al,531110,2
Cole Valley,822 Clayton St,7,yes,Hosack John & Taylor Priscilla,531110,2
Cole Valley,136 Frederick St #138,,,Hosack John & Taylor Priscilla,531110,2
Cole Valley,701 Clayton St,3,yes,Johnson Design,531110,2
Cole Valley,703 Clayton St,3,yes,Johnson Design,531110,2
Cole Valley,651 Clayton St,3,yes,Litke Edward,531110,2
Cole Valley,484 Frederick St #488,,,Litke Edward,531110,2
Cole Valley,433 Frederick St,4,yes,Lockary Joseph,531110,2
Cole Valley,746 Shrader St,4,yes,Mcauliffe Margaret T & Daniel J,531110,2
Cole Valley,36 Beulah St,,,Mcauliffe Margaret T & Daniel J,531110,2
Cole Valley,1308 Masonic St,,,Meislin Kenneth,531110,2
Cole Valley,400 Upper Ter,,,Pietro & Pietro,531110,2
Cole Valley,191 Frederick St,29,yes,"Ralston Capital Sf Multifamily IV, LLC",531110,2
Cole Valley,1585 Waller St,13,yes,"Sf Apartments Trs, LLC",531110,2
Cole Valley,859 Clayton St,,,Sophie Ng,531110,2
Cole Valley,1389 Waller St,,,Stone Tom & Francoise,531110,2
Cole Valley,700 Ashbury St,,,Stone Tom & Francoise,531110,2
Cole Valley,1280 Downey St,,,Tang Trang Et Al,531110,2
Cole Valley,1677 Haight St,5,yes,Victor Makras,531311,2
Cole Valley,101 Rivoli St,4,yes,101 Rivoli Apts,531110,1
Cole Valley,1040 Ashbury St,9,yes,"1040 Ashbury Street Owner, Lp",531311,1
Cole Valley,1436 Waller St,8,yes,1436 Waller St Apartments,531110,1
Cole Valley,225 Downey St,5,yes,225 Downey LLC,531110,1
Cole Valley,635 Clayton St,6,yes,635 Clayton St Apts,531110,1
Cole Valley,820 Ashbury St,7,yes,"820 Ashbury, LLC",531110,1
Cole Valley,142 Downey St Apt,5,yes,Anderson P Robert,531110,1
Cole Valley,1485 Waller St,21,yes,Baylin Bertrand & Dorothy L,531110,1
Cole Valley,53 Downey St,,,Blueport Properties LLC,531110,1
Cole Valley,1208 Cole St,6,yes,Bray Byron G,531110,1
Cole Valley,124 Rivoli St,4,yes,Brown Jill,53,1
Cole Valley,198 Carl St,29,yes,Cetade,53,1
Cole Valley,12 Belvedere St,,,Chan Ernest K,531110,1
Cole Valley,38 Belvedere St,8,yes,Charmed Life Properties,531110,1
Cole Valley,1126 Stanyan St,5,yes,Chen/Huang/Lee,531110,1
Cole Valley,903 Ashbury St,5,yes,Cronander Jonathan A,531110,1
Cole Valley,1426 Waller St,6,yes,Del Carlo Family Trust,531110,1
Cole Valley,109 Frederick St,4,yes,Disrud Family LLC,531110,1
Cole Valley,770 Clayton St Apt 2,4,yes,Estes Mara,53,1
Cole Valley,182 Carl St,12,yes,Fung Aaron,531110,1
Cole Valley,1053 Clayton St #B,3,yes,Gabel Michael,531311,1
Cole Valley,806 Stanyan St,,,Galassi Paul C & Susan C,531110,1
Cole Valley,728 Cole St,5,yes,Gautier Sf Comm Property LLC,531110,1
Cole Valley,867 Ashbury St,6,yes,Grant J. Ute,53,1
Cole Valley,631 Cole St,6,yes,Gregory Gary,531110,1
Cole Valley,1050 Stanyan St,15,yes,Hilm Co,531110,1
Cole Valley,795 Cole St,6,yes,Hitchcock J & Florence L Etal,531110,1
Cole Valley,137 Delmar St,,,Hope Wong,531110,1
Cole Valley,531 Belvedere St,6,yes,Howard Raymond,531110,1
Cole Valley,466 Frederick St,7,yes,Jeffrey Heuer,531110,1
Cole Valley,957 Cole St,,,John Healy,531110,1
Cole Valley,811 Ashbury,5,yes,John W Zito Living Trust,531110,1
Cole Valley,709 Clayton St,13,yes,Lee Howard M,531110,1
Cole Valley,662 Clayton St,12,yes,Liverant Alex,531110,1
Cole Valley,861 Ashbury St,4,yes,Mcclure Joanna K,531110,1
Cole Valley,128 Carl St,7,yes,Michael Kirkish And Lisa Simons,53,1
Cole Valley,1019 Cole St,6,yes,Mitchell Hugh & Mary K,53,1
Cole Valley,102 Frederick St,6,yes,Mock Pelz LLC,531110,1
Cole Valley,110 Frederick St,,,Mulberry Tree Lp,531110,1
Cole Valley,557 Belvedere St,4,yes,Ng Allen & Chow Janice,531110,1
Cole Valley,850 Stanyan St,,,Nichols Nick A,531110,1
Cole Valley,357 Upper Ter,,,Oconnor John M,531110,1
Cole Valley,610 Cole St,21,yes,Olson Family Trust 2014,531110,1
Cole Valley,1000 Ashbury St,6,yes,Patrick Buscovich,531110,1
Cole Valley,160 Beulah St,6,yes,Paul Stuart & Judith Etal,53,1
Cole Valley,180 Carl St,4,yes,Peak Investments LLC,531110,1
Cole Valley,955 Ashbury St,5,yes,Peter W. Berger Jr.,531110,1
Cole Valley,47 Delmar St,4,yes,Peterson Family Trust,531110,1
Cole Valley,824 Cole St,4,yes,Petrick John E,531110,1
Cole Valley,268 Frederick St,5,yes,Preovolos Caroline Etal,531110,1
Cole Valley,231 Frederick St,5,yes,Prieur William V & Joanne A,531110,1
Cole Valley,2 Grattan St,4,yes,Rubenstein Michael-Marcia Tr,531110,1
Cole Valley,130 Frederick St,22,yes,San Francisco Granada Apts Lp,531110,1
Cole Valley,1034 Cole St,6,yes,Serratto Louis & Beber Marion,531110,1
Cole Valley,1418 Waller St,6,yes,Shadi Rostami,531110,1
Cole Valley,821 Ashbury St,4,yes,Shain Susan,531110,1
Cole Valley,616 Shrader St,10,yes,Shea Dennis & Sharon,531110,1
Cole Valley,823 Shrader St,6,yes,Smith Thomas,531110,1
Cole Valley,1120 Shrader St,4,yes,Steve L Walkup Revocable Trust,531110,1
Cole Valley,614 Cole St,10,yes,Sunhee Moon Living Trust,531110,1
Cole Valley,1700 Waller St,4,yes,Tai Kwan Lee LLC,531110,1
Cole Valley,1131 Cole St #35,4,yes,The Dante & Mary Giosso Flp,531110,1
Cole Valley,642 Cole St,6,yes,Tracy Hamann,531110,1
Cole Valley,216 Frederick St,4,yes,Ungar John F,531110,1
Cole Valley,244 Grattan St,18,yes,United Peace LLC,531110,1
Cole Valley,122 Carl St,7,yes,Vince Rinaldi,531110,1
Cole Valley,652 Clayton St,7,yes,W&W Clayton LLC,531110,1
Cole Valley,1369 Waller St,6,yes,Waller Property Group LLC,531110,1
Cole Valley,615 Cole St,17,yes,William & Alycia Kennedy Trustees,531110,1
Cole Valley,1010 Ashbury St,6,yes,Wong Sherman N H & Shou Y,531110,1
Cole Valley,1400 Shrader St,3,yes,Yarian Bruce,531110,1
Noe Valley,630 Alvarado St,27,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Noe Valley,4475 23rd St,12,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Noe Valley,630 Grand View Ave,,,"Sf Apartments Investor Holdings, LLC",531110,21
Noe Valley,642 Alvarado St,34,yes,Dewolf Realty Co,531110,14
Noe Valley,1333 Castro St,,,Del Camp Investments Inc,531110,11
Noe Valley,3940 24th St,,,Del Camp Investments Inc,531110,11
Noe Valley,3972 24th St,,,Del Camp Investments Inc,531110,11
Noe Valley,578 Jersey St,,,Del Camp Investments Inc,531110,11
Noe Valley,4135 Cesar Chavez St,13,yes,Mccormick Thomas E,531110,9
Noe Valley,4601 25th St,8,yes,Mccormick Thomas E,531110,9
Noe Valley,544 27th St,8,yes,Mccormick Thomas E,531110,9
Noe Valley,524 27th St,6,yes,Mccormick Thomas E,531110,9
Noe Valley,501 Duncan St,4,yes,Mccormick Thomas E,531110,9
Noe Valley,528 27th St,,,Mccormick Thomas E,531110,9
Noe Valley,578 Jersey St,,,Del-Camp Investments Inc,531110,7
Noe Valley,1705 Church St,8,yes,T & A Drolapas & Sons L.P.,531110,7
Noe Valley,1043 Noe St #1049,4,yes,Leung Eugene,531110,5
Noe Valley,116 Vicksburg St #122,,,Leung Eugene,531110,5
Noe Valley,1347 Church St,,,W J Britton & Co,531210,5
Noe Valley,981 Elizabeth St,12,yes,Artal Family Lp,531110,4
Noe Valley,537 Duncan St,4,yes,Artal Family Lp,531110,4
Noe Valley,1351 Noe St,13,yes,F Loy Fong & Helen Fong Fam Trust,"53, 531110",4
Noe Valley,1042 Noe St #1046,7,yes,F Loy Fong & Helen Fong Fam Trust,"53, 531110",4
Noe Valley,1643 Castro St,,,F Loy Fong & Helen Fong Fam Trust,"53, 531110",4
Noe Valley,4205 24th St,6,yes,Hwang Family Living Trust,531110,4
Noe Valley,135 Clipper St,14,yes,Pritchard Robert & Avelina,53,4
Noe Valley,165 Chattanooga St,,,Pritchard Robert & Avelina,53,4
Noe Valley,1050 Sanchez St,,,Eve Bernstein Living Trust,531110,3
Noe Valley,1125 Sanchez St,4,yes,Galu Dominic Fam Trust,531110,3
Noe Valley,429 28th St,6,yes,Hahn Brit,531110,3
Noe Valley,1250 Sanchez St,,,Murphy Marguerita,531110,3
Noe Valley,202 -204 Clipper St,,,Murphy Marguerita,531110,3
Noe Valley,811 Diamond St,4,yes,Mylett Thomas & Margaret M,531110,3
Noe Valley,821 Diamond St,4,yes,Mylett Thomas & Margaret M,531110,3
Noe Valley,135 Clipper St,14,yes,Pritchard Avelina,53,3
Noe Valley,3986 23rd St,3,yes,Silverman Family Limited Partnership,531110,3
Noe Valley,3972 - 3978 23rd St,,,Silverman Family Limited Partnership,531110,3
Noe Valley,491 - 497 Alvarado St,,,Silverman Family Limited Partnership,531110,3
Noe Valley,3914 24th St,3,yes,Smithton Robert L,531110,3
Noe Valley,294 29th St,,,Appenrodt Jeff J,531210,2
Noe Valley,995 Sanchez St #997,3,yes,Asher Laura K,531210,2
Noe Valley,997 Sanchez St,,,Asher Laura K,531210,2
Noe Valley,228 Duncan St,15,yes,Bertocchini Family Trust,531110,2
Noe Valley,4199 24th St,4,yes,Bertocchini Family Trust,531110,2
Noe Valley,4120 24th St,5,yes,Betty J Droubi Lvg Trust,531110,2
Noe Valley,4155 24th St,,,Betty J Droubi Lvg Trust,531110,2
Noe Valley,3803 22nd St,,,Bodine Barbara,531110,2
Noe Valley,3912 23rd St,,,Bodine Barbara,531110,2
Noe Valley,640 Douglass St,4,yes,Carpeneti Richard,531110,2
Noe Valley,385 Valley St,4,yes,Chan Bob & Leslie Y,531110,2
Noe Valley,1174 Sanchez St,6,yes,Conway Joe & Abbott Thomas,53,2
Noe Valley,473 Elizabeth St,8,yes,Deamicis Clement D & Roseanne,531390,2
Noe Valley,300 Hill St,7,yes,Duke William & Charleen,531110,2
Noe Valley,4236 25th St,12,yes,Fukuda & Michisukk Etal,531110,2
Noe Valley,1084 Noe St #88,3,yes,Fukuda & Michisukk Etal,531110,2
Noe Valley,96 Jersey St,4,yes,Gutfreund Family Trust & Et Al,531110,2
Noe Valley,462 27th Avenue,8,yes,Harry Y And Patricia L Gee,531110,2
Noe Valley,173 Duncan St,4,yes,Hostetter Charles & Eng J E,53,2
Noe Valley,177 Duncan St,,,Hostetter Charles & Eng J E,53,2
Noe Valley,1101 Castro St,4,yes,Hunt Richard J,531110,2
Noe Valley,4089 23rd St,,,Hunt Richard J,531110,2
Noe Valley,36 Valley St,12,yes,Kardum Peter E,531110,2
Noe Valley,1000 Church St,,,Kiely Philip Q,531110,2
Noe Valley,410 Elizabeth St,5,yes,Lothar Determann,531110,2
Noe Valley,739 Elizabeth St,4,yes,Martin Winderl,53,2
Noe Valley,3721 23rd St,4,yes,Ostowari 2000 Trust,531110,2
Noe Valley,462 27th St,8,yes,Piazza Mitchelle,53,2
Noe Valley,1605 Castro St,7,yes,Robinson Charles J & Nora F,531110,2
Noe Valley,4194 24th St,,,Robinson Charles J & Nora F,531110,2
Noe Valley,3975 24th St,3,yes,Sfclt 24th St Holdings LLC,531110,2
Noe Valley,3975 -397 24th St,,,Sfclt 24th St Holdings LLC,531110,2
Noe Valley,3724 23rd St,,,Sin Betty S,531110,2
Noe Valley,349 29th St,6,yes,Trust Of Joseph P Torrano,531110,2
Noe Valley,355 29th St,6,yes,Trust Of Joseph P Torrano,531110,2
Noe Valley,119 Day St,10,yes,Vaccaro Enterprises Lp,531110,2
Noe Valley,1193 Church St,,,Victor Makras,531311,2
Noe Valley,577 27th Ave,3,yes,Wah Lew,531110,2
Noe Valley,3838 24th St,,,Yeung Cheuk Y & Kwai Kuen,531110,2
Noe Valley,1064 Dolores St,14,yes,1064 Dolores I1 Lp,531110,1
Noe Valley,901 Noe St,3,yes,160 Pierce Street LLC,53,1
Noe Valley,2 Amber Dr,10,yes,2 Amber Drive LLC,531110,1
Noe Valley,200 30th St,8,yes,200 30th Street LLC,531110,1
Noe Valley,3855 26th St,4,yes,360-362 10th Street Associates LLC,531110,1
Noe Valley,3618 22nd St,14,yes,3618 22nd St LLC,531110,1
Noe Valley,365 29th St,4,yes,365 29th LLC,531110,1
Noe Valley,3961 24th St,5,yes,3961 Twenty-Fourth Street,531110,1
Noe Valley,3986 24th St,11,yes,3986 24th Street,531110,1
Noe Valley,224 Amber Dr,,,490 Francisco Apartments,53,1
Noe Valley,550 27th St,16,yes,550 27th Street LLC,531110,1
Noe Valley,901 Noe St,3,yes,901 Noe Street LLC,53,1
Noe Valley,1234 Castro St,,,945 Larkin Apartments LLC,531110,1
Noe Valley,901 Castro St,4,yes,"Adh Properties, LLC",531110,1
Noe Valley,442 Elizabeth St,8,yes,Alioto Frank S,531110,1
Noe Valley,4288 24th St #98,13,yes,Almyra LLC,53,1
Noe Valley,3910 23rd St,6,yes,Alvin Wong,531110,1
Noe Valley,4248 23rd St,,,Arriaza Raul,531110,1
Noe Valley,416 Duncan St,8,yes,Basem Totah & Maha Totah,531110,1
Noe Valley,1398 Noe St,4,yes,Bell Clifton L,531110,1
Noe Valley,1 Vicksburg St,4,yes,Bertram John R,531110,1
Noe Valley,295 28th St,6,yes,Boultinghouse Donald N,53,1
Noe Valley,1596 Church St,6,yes,"California St. Investments, LLC",531110,1
Noe Valley,1435 Castro St,8,yes,Catherine Quigg Trustee,531110,1
Noe Valley,3983 Cesar Chavez St,4,yes,Chan Faye & Sylvia & Mavis,531110,1
Noe Valley,1140 Sanchez St,4,yes,Chan Yau-Gene,531110,1
Noe Valley,3860 26th St,6,yes,Chang Kung Yun & Elaine C,53,1
Noe Valley,1147 Sanchez,4,yes,Charlene Lee,531110,1
Noe Valley,4123 24th St,,,"Chiwi,LLC",531110,1
Noe Valley,1165 Church St,8,yes,"Church-Yen Moon Hing, LLC",531110,1
Noe Valley,43 Worth St,,,Clever Heidi Clever Alex Tr,531110,1
Noe Valley,3899 24th St,,,Compass California II Inc,531210,1
Noe Valley,5 28th St,6,yes,Cournale Curtis & Debi,531110,1
Noe Valley,3763 24th St,4,yes,Craib Richard & Sandra,531110,1
Noe Valley,201 Duncan St,9,yes,Crane R Michael,531110,1
Noe Valley,556 San Jose Ave #560,,,Cusing Mark E And Sophia S Revocable Living Trust,531110,1
Noe Valley,234 27th Ave Apt,3,yes,Cynthia Lotti,53,1
Noe Valley,1551 Dolores St,3,yes,Dare Herbert T,531110,1
Noe Valley,164 Valley St,20,yes,Delcastello Constr Co Inc,531110,1
Noe Valley,501 Douglass St,7,yes,Dissmeyer John,53,1
Noe Valley,148 29th St,5,yes,Doherty Paul,531110,1
Noe Valley,878 Dolores St,6,yes,Dolores Apartment LLC,531110,1
Noe Valley,495 Grand View Ave,,,Elliott Molly J,53,1
Noe Valley,3770 24th St,27,yes,Erpen Gustav & Betty,531110,1
Noe Valley,540 Hill St,4,yes,Evers Revocable Trust,531110,1
Noe Valley,811 Alvarado St,7,yes,Fang S Tu E Tu S Lai M,531110,1
Noe Valley,3810 24th,,,Fendersf Inc,53,1
Noe Valley,252 Chattanooga St,6,yes,Fernandez Joan Shelley,531110,1
Noe Valley,1606 Church St,5,yes,Figone Angelo P Brenner Lauren,531110,1
Noe Valley,1596 Church St,6,yes,Francisco Street Investments LLC,531110,1
Noe Valley,1400 Castro St,10,yes,Gallina Family Limited Partnership,531110,1
Noe Valley,455 29th St,4,yes,Gee Attlee And Catherine,531110,1
Noe Valley,4243 24th St,4,yes,Gee Betty Wai Chu,531110,1
Noe Valley,4000 24th St,3,yes,Gianaras John,531110,1
Noe Valley,1571 Noe St,4,yes,Giouzelis Chris M & Cathy M,531110,1
Noe Valley,1596 Church St,6,yes,Gpmsf Inc,531311,1
Noe Valley,1750 Church St,,,Haramis Peter & Maria,531110,1
Noe Valley,3879 22nd St,4,yes,Heaney Paul J & Kendall M,531110,1
Noe Valley,3901 Cesar Chavez St,4,yes,Horn Allan J,53,1
Noe Valley,3740 24th St,6,yes,Howard Edson R & Ann L,531110,1
Noe Valley,4118 24th St Apt 1,6,yes,Hsia Yu Long & Chun,531110,1
Noe Valley,157 27th St,6,yes,Huey Harry,531110,1
Noe Valley,217 Jersey St,8,yes,Hunt Brian & Hunt Sam,531110,1
Noe Valley,1596 Church St,6,yes,"Jackson Street Investments, LLC",531110,1
Noe Valley,236 30th St,4,yes,Jeanette E. Santos,531110,1
Noe Valley,1602 Church St,,,Joseph M Torrano,531110,1
Noe Valley,690 Alvarado St,7,yes,Khuri Jamil & Suad Trust Et Al,531110,1
Noe Valley,121 Jersey St,4,yes,Kokalis Nicholas G & Despina,53,1
Noe Valley,585 29th St,4,yes,Kropp Kevin L Lester Paul R,531110,1
Noe Valley,1596 Church St,6,yes,"Larkin Street Investments, LLC",531110,1
Noe Valley,1150 Sanchez St #56,4,yes,Leung Darryl C,531110,1
Noe Valley,4095 Cesar Chavez St,12,yes,Lingscheid-Bowers LLC,531110,1
Noe Valley,1310 Church St Ste 2,4,yes,Loveless Judith C,53,1
Noe Valley,996 Dolores St,6,yes,Lucchesi Romando J,531110,1
Noe Valley,143 28th St,6,yes,Martinovich Bozo A,531110,1
Noe Valley,151 28th St,4,yes,May Yee,531110,1
Noe Valley,1601 Sanchez St,4,yes,Mckeever Donovan & Lisa,531110,1
Noe Valley,29 27th St,6,yes,Mueller Philip A,53,1
Noe Valley,1316 Noe St,3,yes,Mutert Brian,531110,1
Noe Valley,4040 24th St,,,Norcal United Real Estate Partners,531210,1
Noe Valley,184 Chattanooga St,4,yes,Norton Mark,531110,1
Noe Valley,4297 23 St Bldg,,,Nurith Still,531110,1
Noe Valley,250 28th St,6,yes,Nye Jacqueline,531110,1
Noe Valley,319 Duncan St,4,yes,Oneil Glenn W & Claudette,531110,1
Noe Valley,4248 23rd St,,,Osa Associates LLC,531110,1
Noe Valley,1068 -107 Noe St,,,Owl Coast Partnership,531311,1
Noe Valley,1 Clipper St,6,yes,Pacioretty Burton J,531110,1
Noe Valley,1138 Church St,6,yes,"Palm Lane Partners, LLC.",531110,1
Noe Valley,497 29th St #499,4,yes,Paolini Furr Dobbins Trustees,531110,1
Noe Valley,192 Valley St #196,,,Plautz/Welsh 1999 Trust,531110,1
Noe Valley,1451 Guerrero St,8,yes,Pokrywka Mary L,53,1
Noe Valley,101 27th St,12,yes,Quan James L & Helen S,531110,1
Noe Valley,650 Alvarado St,27,yes,Ralston Bridge Alvarado LLC,531110,1
Noe Valley,4130 Cesar Chavez St,40,yes,Ralston Cptl Sf Multfly II LLC,531110,1
Noe Valley,140 Day St,4,yes,Rita Fontana,531110,1
Noe Valley,3745 24th Street,4,yes,Robin Heuer,531110,1
Noe Valley,158 Duncan St,6,yes,Roukes Chrissa D,531110,1
Noe Valley,3961 24th St,5,yes,"Rpk, Inc.",531210,1
Noe Valley,201 Vicksburg St,4,yes,Schlotz Jeanne L,531110,1
Noe Valley,1630 Sanchez St,6,yes,Schroff Edmund & Topkis Brian,53,1
Noe Valley,1566 Church St,4,yes,Sciarra Joseph & Rustici A,531110,1
Noe Valley,240 Chattanooga St,39,yes,Sf Noe Valley Apartment Lp,531110,1
Noe Valley,440 Valley St,4,yes,Shapiro William A,531110,1
Noe Valley,2103 Castro St Apt 5,5,yes,Shui Ha Lew,53,1
Noe Valley,2 28th St,6,yes,Siino Joe & Sandra,531110,1
Noe Valley,406 Duncan St,8,yes,So Kenneth C & Eva S,531110,1
Noe Valley,3519 21st St,3,yes,Suhasni Gopalakrishnan,531110,1
Noe Valley,1459 Dolores St,4,yes,Szeto Glenn & Karen A,531110,1
Noe Valley,301 Jersey St #3,3,yes,Taisch Real Estate Inc,531210,1
Noe Valley,4083 25th St,4,yes,Tasto Jennifer F,531110,1
Noe Valley,4220 Cesar Chavez St,38,yes,Teh-Sen Tan & Nancy P.J. Tan,531110,1
Noe Valley,112 30th St,4,yes,"The Crawford 2003 Living Trust, Daniel Crawford",531110,1
Noe Valley,1760 Church St,6,yes,The Haramis Trust,531110,1
Noe Valley,985 Church St,7,yes,The Lmp 2012 Irrevocable Trust,531110,1
Noe Valley,292 30th St,14,yes,"Theseus Group, Inc.",531210,1
Noe Valley,1450 Guerrero St,4,yes,Timothy F. Walley & Jacqueline P. Walley,531110,1
Noe Valley,579 27th Ave Apt 3,3,yes,Tom Sally,531110,1
Noe Valley,205 28th St,11,yes,Torrano Anthony & Flora,531110,1
Noe Valley,31 28th St #41,,,Tung Sur Miao,531110,1
Noe Valley,4155 Cesar Chavez St,18,yes,Viegas Donald R,531110,1
Noe Valley,1348 Dolores St Apt 5,8,yes,Villarreal Anita/Sandoval Fran,53,1
Noe Valley,3898 24th St,,,Vozaites Antonios D & Thalia,531311,1
Noe Valley,1652 Dolores St,10,yes,Walter Susor,53,1
Noe Valley,1242 Church St,3,yes,William A Sandman,531110,1
Noe Valley,572 29th St,4,yes,Wong Family Living Trust,531110,1
Noe Valley,1275 Noe St,4,yes,Yee Winifred L,531110,1
Mission,65 Liberty St,21,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Mission,181 Bartlett St,12,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Mission,1651 Market St,,,"Sf Apartments Investor Holdings, LLC",531110,21
Mission,3783 20th St,19,yes,Sf Owner LLC,"531110, 531311",18
Mission,500 Bartlett St,,,Sf Owner LLC,"531110, 531311",18
Mission,138 Clinton Park #140,,,Dewolf Realty Co,531110,14
Mission,1103 -111 Treat Ave,,,Castellucci Antonio,531311,13
Mission,1359 Guerrero St,,,Castellucci Antonio,531311,13
Mission,2641 -264 24th St,,,Castellucci Antonio,531311,13
Mission,2970 -297 Mission St,,,Castellucci Antonio,531311,13
Mission,3172 -317 21st St,,,Castellucci Antonio,531311,13
Mission,140 Julian Ave,,,Del Camp Investments Inc,531110,11
Mission,2351 Mission St,,,Del Camp Investments Inc,531110,11
Mission,905 Capp St,12,yes,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3172 24th St,11,yes,Galu Dominic-Philip Etal Fam T,531110,10
Mission,880 Shotwell St,6,yes,Galu Dominic-Philip Etal Fam T,531110,10
Mission,1068 S Van Ness Ave,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3174 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3176 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3243 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3245 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3247 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3249 24th St,,,Galu Dominic-Philip Etal Fam T,531110,10
Mission,3364 22nd St,9,yes,Mccormick Thomas E,531110,9
Mission,1910 Folsom St,6,yes,Mccormick Thomas E,531110,9
Mission,1916 Folsom St,6,yes,Mccormick Thomas E,531110,9
Mission,455 14th St,6,yes,"Sf Multifamily Pool 2-3 (B) Owner, LLC",531110,9
Mission,1912 - 19 Mission St,,,"Sf Multifamily Pool 2-3 (B) Owner, LLC",531110,9
Mission,477 14th St #481,6,yes,Wai John E 1981 Lvg Trust,531110,9
Mission,1415-1417  Guerrero St,,,Wai John E 1981 Lvg Trust,531110,9
Mission,550 Guerrero St #560,,,Wai John E 1981 Lvg Trust,531110,9
Mission,396 Capp St,6,yes,Unif Inc,53,8
Mission,1074 Florida St,,,Unif Inc,53,8
Mission,308 Capp St #310,,,Unif Inc,53,8
Mission,346 Shotwell St,,,Unif Inc,53,8
Mission,3782 Cesar Chavez,,,Unif Inc,53,8
Mission,3786 Cesar Chavez,,,Unif Inc,53,8
Mission,140 Julian Ave,,,Del-Camp Investments Inc,531110,7
Mission,1341 Valencia St,32,yes,Murphy San Francisco Limited Partnership,53,7
Mission,324 Bartlett St,30,yes,Murphy San Francisco Limited Partnership,53,7
Mission,1200 Hampshire St,,,Murphy San Francisco Limited Partnership,53,7
Mission,1301 York St,,,Murphy San Francisco Limited Partnership,53,7
Mission,2887 Folsom St,,,Murphy San Francisco Limited Partnership,53,7
Mission,3380 21st St,9,yes,T & A Drolapas & Sons L.P.,531110,7
Mission,3606 18th St,4,yes,T & A Drolapas & Sons L.P.,531110,7
Mission,485 Guerrero St,,,T & A Drolapas & Sons L.P.,531110,7
Mission,598 Guerrero St,,,T & A Drolapas & Sons L.P.,531110,7
Mission,785 Valencia St,,,T & A Drolapas & Sons L.P.,531110,7
Mission,540 Capp St,40,yes,Bartholomew Murphy,53,6
Mission,201 Dolores St,20,yes,Bartholomew Murphy,53,6
Mission,2450 Bryant St,12,yes,Bartholomew Murphy,53,6
Mission,487 Fair Oaks St,8,yes,Huffman Margaret,531110,6
Mission,1876 15th St,7,yes,Huffman Margaret,531110,6
Mission,1181 Guerrero St,6,yes,Huffman Margaret,531110,6
Mission,177 Fair Oaks St,6,yes,Huffman Margaret,531110,6
Mission,1105 Guerrero St,,,Huffman Margaret,531110,6
Mission,255 Fair Oaks St,,,Huffman Margaret,531110,6
Mission,3515 25th St,10,yes,Jg Mcnamara Properties LLC,531110,5
Mission,1380 Valencia St # 1384,,,Jg Mcnamara Properties LLC,531110,5
Mission,1390 Valencia St,,,Jg Mcnamara Properties LLC,531110,5
Mission,1406 Valencia St,,,Jg Mcnamara Properties LLC,531110,5
Mission,3514 25th St,,,Jg Mcnamara Properties LLC,531110,5
Mission,527 Dolores St,6,yes,Khostovan Ali & Fatemah,53,5
Mission,1410 Guerrero St,,,Khostovan Ali & Fatemah,53,5
Mission,3116 16th St,31,yes,Levinson Family Revocable Trust,531110,5
Mission,135 Capp St,14,yes,Levinson Family Revocable Trust,531110,5
Mission,3106 16th St,,,Levinson Family Revocable Trust,531110,5
Mission,3108 16th St,,,Levinson Family Revocable Trust,531110,5
Mission,750 Guerrero St,12,yes,"Sf Multifamily Pool 5 (C) Owner, LLC",531110,5
Mission,3638 19th St,6,yes,"Sf Multifamily Pool 5 (C) Owner, LLC",531110,5
Mission,585 -587 Dolores St,,,"Sf Multifamily Pool 5 (C) Owner, LLC",531110,5
Mission,30 Guerrero St,3,yes,W J Britton & Co,531210,5
Mission,123 S Van Ness Ave,,,W J Britton & Co,531210,5
